service_id,date,exception_type
7020527-1111100-27,20200203,1
7020527-1111100-27,20200309,1
7020527-1111100-27,20200206,1
7020527-1111100-27,20200207,1
7020527-1111100-27,20200204,1
7020527-1111100-27,20200205,1
7020527-1111100-27,20200224,1
7020527-1111100-27,20200225,1
7020527-1111100-27,20200129,1
7020527-1111100-27,20200227,1
7020527-1111100-27,20200220,1
7020527-1111100-27,20200221,1
7020527-1111100-27,20200127,1
7020527-1111100-27,20200128,1
7020527-1111100-27,20200310,1
7020527-1111100-27,20200311,1
7020527-1111100-27,20200312,1
7020527-1111100-27,20200313,1
7020527-1111100-27,20200219,1
7020527-1111100-27,20200218,1
7020527-1111100-27,20200228,1
7020527-1111100-27,20200211,1
7020527-1111100-27,20200210,1
7020527-1111100-27,20200213,1
7020527-1111100-27,20200212,1
7020527-1111100-27,20200130,1
7020527-1111100-27,20200131,1
70294-0000010-0,20200201,1
7018519-1111100-19,20200310,1
7018519-1111100-19,20200311,1
7018519-1111100-19,20200211,1
7018519-1111100-19,20200226,1
7018519-1111100-19,20200213,1
7018519-1111100-19,20200210,1
7018519-1111100-19,20200218,1
7018519-1111100-19,20200303,1
